STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2015,,28.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2016,,28.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2017,,29.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2018,,30.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2019,,31.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2020,,31.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2021,,31.8,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2022,,32.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2023,,33.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2024,,34.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2021,,14.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2022,,14.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2023,,14.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2024,,15.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2015,,32.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2016,,33.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2017,,35.6,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2018,,36.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2019,,36.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2020,,37.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2021,,39.7,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2022,,40.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2023,,39.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2024,,38.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2015,,24.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2016,,24.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2017,,24.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03$DV_598(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2018,,24.8,,,,,
