STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2015,,19.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2016,,19.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2017,,19.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2018,,18.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2019,,18.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2020,,18.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2021,,18.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2022,,18.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2023,,18.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2024,,18.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2021,,23.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2022,,22.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2023,,22.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2024,,22.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2015,,28.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2016,,28.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2017,,27.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2018,,26.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2019,,25.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2020,,25.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2021,,22.7,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2022,,21.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2023,,22.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2024,,22.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2015,,22.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2016,,21.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2017,,21.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2018,,21.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2019,,21.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2020,,21.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2021,,20.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2022,,19.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2023,,18.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2024,,17.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2015,,18.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2016,,18.2,,,,,
