STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,levels,Level,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AL,Albania,2017,,4.1,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AL,Albania,2018,,4.3,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AL,Albania,2019,,4.0,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AL,Albania,2020,,3.8,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AL,Albania,2021,,3.9,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AT,Austria,2008,,7.0,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AT,Austria,2009,,6.6,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AT,Austria,2010,,7.1,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AT,Austria,2011,,7.4,,,,,
dataflow,ESTAT:HLTH_SILC_02$DV_381(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,BAD,Bad,AT,Austria,2012,,6.6,,,,,
