STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,levels,Level,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,AT,Austria,2023,,69.3,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,BE,Belgium,2023,,75.4,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,BG,Bulgaria,2023,,65.1,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,CH,Switzerland,2023,,79.2,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,CY,Cyprus,2023,,75.6,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,CZ,Czechia,2023,,66.5,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,DE,Germany,2023,,65.6,,e,estimated,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,DK,Denmark,2023,,64.5,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,EE,Estonia,2023,,56.3,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,EL,Greece,2023,,78.3,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,ES,Spain,2023,,70.2,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,FI,Finland,2023,,66.1,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,FR,France,2023,,64.9,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,HR,Croatia,2023,,65.0,,b,break in time series,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,HU,Hungary,2023,,65.2,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,IE,Ireland,2023,,79.6,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,IT,Italy,2023,,73.9,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,LT,Lithuania,2023,,47.6,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,LU,Luxembourg,2023,,74.2,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,LV,Latvia,2023,,47.8,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,MT,Malta,2023,,79.5,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,NL,Netherlands,2023,,69.9,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,NO,Norway,2023,,73.9,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,PL,Poland,2023,,62.7,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,PT,Portugal,2023,,51.0,,,,,
dataflow,ESTAT:HLTH_SILC_02(1.0),"Self-perceived health by sex, age and educational attainment level",A,Annual,PC,Percentage,TOTAL,All ISCED 2011 levels,Y_GE16,16 years or over,T,Total,VG_G,Very good or good,RO,Romania,2023,,72.1,,,,,
