STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2015,,98.70,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2016,,99.74,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2017,,103.19,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2018,,102.67,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2019,,102.75,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2020,,104.49,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2021,,106.44,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2022,,105.16,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2023,,109.32,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2024,,107.21,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2015,,100.74,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2016,,103.09,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2017,,103.29,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2018,,105.27,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2019,,106.90,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2020,,110.14,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2021,,110.46,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2022,,113.05,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2023,,108.77,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2024,,111.46,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2015,,102.51,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2016,,97.99,,b,break in time series,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2017,,113.16,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2018,,111.84,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2019,,128.19,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2020,,136.61,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2021,,150.92,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2022,,153.04,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2023,,164.25,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2024,,181.09,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2015,,103.73,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2016,,102.85,,,,,
dataflow,ESTAT:ILC_DI18$DEFAULTVIEW(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2017,,104.31,,,,,
