STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2019,,102.75,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2019,,106.90,,b,break in time series,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2019,,128.19,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2019,,102.63,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2019,,93.96,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2019,,119.66,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2019,,110.85,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2019,,108.35,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2019,,158.59,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2019,,63.72,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2019,,91.61,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2019,,101.65,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2019,,100.87,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HR,Croatia,2019,,113.82,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HU,Hungary,2019,,126.72,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IE,Ireland,2019,,117.30,,b,break in time series,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IS,Iceland,2019,,120.32,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IT,Italy,2019,,95.54,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LT,Lithuania,2019,,160.66,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LU,Luxembourg,2019,,95.97,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LV,Latvia,2019,,162.54,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,MT,Malta,2019,,127.33,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NL,Netherlands,2019,,107.36,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NO,Norway,2019,,110.45,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PL,Poland,2019,,140.07,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PT,Portugal,2019,,102.70,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,RO,Romania,2019,,164.95,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SE,Sweden,2019,,112.62,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SI,Slovenia,2019,,106.62,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SK,Slovakia,2019,,116.82,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,TR,Türkiye,2019,,131.00,,,,,
