STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2023,,109.32,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2023,,108.77,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2023,,164.25,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2023,,103.94,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2023,,100.10,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2023,,124.64,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2023,,107.89,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2023,,106.75,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2023,,165.04,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2023,,71.62,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2023,,99.71,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2023,,100.60,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2023,,98.21,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HR,Croatia,2023,,136.38,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HU,Hungary,2023,,152.10,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IE,Ireland,2023,,130.61,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IT,Italy,2023,,99.03,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LT,Lithuania,2023,,185.98,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LU,Luxembourg,2023,,110.54,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LV,Latvia,2023,,179.56,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,MT,Malta,2023,,143.62,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NL,Netherlands,2023,,107.07,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NO,Norway,2023,,108.85,,b,break in time series,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PL,Poland,2023,,172.25,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PT,Portugal,2023,,110.83,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,RO,Romania,2023,,240.41,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SE,Sweden,2023,,114.40,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SI,Slovenia,2023,,120.94,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SK,Slovakia,2023,,109.68,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,TR,Türkiye,2023,,146.75,,,,,
