STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,7.7,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2023,,7.7,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2023,,5.9,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2023,,7.8,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2023,,7.4,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2023,,7.4,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2023,,7.0,,u,low reliability,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2023,,7.5,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2023,,6.9,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2023,,7.8,,b,break in time series,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2023,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2023,,7.1,,b,break in time series,,
dataflow,ESTAT:ILC_PW01(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2023,,7.2,,u,low reliability,,
