STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,lev_satis,Level of satisfaction,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2018,,4.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2018,,39.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2018,,21.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2018,,9.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2018,,38.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2018,,22.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2018,,27.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2018,,28.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2018,,41.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2018,,19.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2018,,13.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2018,,24.4,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2018,,40.6,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2018,,18.3,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2018,,16.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2018,,13.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2018,,43.2,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IS,Iceland,2018,,43.1,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2018,,17.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2018,,17.6,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2018,,25.3,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2018,,15.3,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2018,,18.5,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2018,,13.0,,,,,
