STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,lev_satis,Level of satisfaction,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,33.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2023,,23.0,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2023,,8.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2023,,35.9,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2023,,23.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2023,,25.7,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2023,,22.3,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2023,,32.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2023,,20.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2023,,17.8,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2023,,22.2,,,,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2023,,31.6,,b,break in time series,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2023,,17.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW05(1.0),"Overall life satisfaction by level of satisfaction, age and educational attainment",A,Annual,PC,Percentage,HIGH,High,TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2023,,21.2,,b,break in time series,,
